Course Name,Course ID,Assessment Name,Assessment ID,Serial
Full Stack,lex_auth_01361034201947340838,Angular Assessment,lex_11607414588034415000_shared,1
Full Stack,lex_auth_01361034201947340838,API Development - Assessment,lex_15253685357139603000_shared,2
Full Stack,lex_auth_01361034201947340838,Assessment,lex_auth_013165203216859136544_shared,3
Cyber Security,lex_auth_01361045729168588817,Assessment - Networking Fundamentals,lex_auth_012540083791421440850_shared,1
Cyber Security,lex_auth_01361045729168588817,Assessment - Introduction to Cyber Security,lex_21234137846893370000_shared,2
Cyber Security,lex_auth_01361045729168588817,Fundamentals of Information Security - Assessment,lex_auth_01263916267162009644_shared,3
Cyber Security,lex_auth_01361045729168588817,Assessment,lex_auth_012666889552207872706_shared,4
Cyber Security,lex_auth_01361045729168588817,Assessment - Threat Modeling,lex_auth_0126273526408642563285_shared,5
Cyber Security,lex_auth_01361045729168588817,Assessment,lex_auth_012792259002834944388_shared,6
Cyber Security,lex_auth_01361045729168588817,Assessment- Security Standards and Regulations,lex_auth_0126350280493957124760_shared,7
Cyber Security,lex_auth_01361045729168588817,IGA Assessment,lex_auth_012654977157849088249_shared,8
Machine Learning Object,lex_auth_01361026191096217636,Self Assessment - Introduction to Artificial Intelligence,lex_26105618936746710000_shared,1
Machine Learning Object,lex_auth_01361026191096217636,Self Assessment - Introduction to Data Science,lex_33270479327707190000_shared,2
Machine Learning Object,lex_auth_01361026191096217636,Final Assessment - Python for Data Science,lex_auth_013332141157048320321_shared,3
Machine Learning Object,lex_auth_01361026191096217636,Data Visualisation - Assessment,lex_auth_0126051849338306561442_shared,4
Machine Learning Object,lex_auth_01361026191096217636,Explore Machine Learning using Python - Assessment,lex_auth_012600398264270848246_shared,5
Machine Learning Object,lex_auth_01361026191096217636,Assessment,lex_auth_0130929347960995841127_shared,6
Machine Learning,lex_auth_01360970789049139215,Self Assessment - Introduction to Artificial Intelligence,lex_26105618936746710000_shared,1
Machine Learning,lex_auth_01360970789049139215,Self Assessment - Introduction to Data Science,lex_33270479327707190000_shared,2
Machine Learning,lex_auth_01360970789049139215,Final Assessment - Python for Data Science,lex_auth_013332141157048320321_shared,3
Machine Learning,lex_auth_01360970789049139215,Data Visualisation - Assessment,lex_auth_0126051849338306561442_shared,4
Machine Learning,lex_auth_01360970789049139215,Explore Machine Learning using Python - Assessment,lex_auth_012600398264270848246_shared,5
